album_id,album_name,artist_id,genre_id,release_date
254,Rhythm Sessions,117,12,2008-11-26
255,Neon,8,3,2012-06-17
256,Midnight II,103,6,2019-11-26
257,Reflections I,57,2,2007-11-12
258,Silence I,47,13,2019-03-22
259,Fire Sessions,58,12,2024-02-19
260,Fire Sessions,18,17,2010-11-09
261,Midnight,32,4,2005-08-17
262,Horizons III,50,18,2024-05-23
263,Rhythm III,58,7,2022-08-07
264,Dreams Sessions,16,5,2005-12-15
265,Neon III,12,11,2022-02-18
266,Hearts II,70,10,2022-12-23
267,Fire Collection,82,6,2007-02-07
268,Stories Sessions,102,5,2000-06-18
269,Afterglow Collection,74,12,2004-10-03
270,Skyline,9,10,2023-08-17
271,Silence I,53,14,2004-06-21
272,Afterglow,10,15,2016-06-05
273,Unplugged Collection,113,18,2005-03-14
274,Horizons Collection,65,2,2004-05-06
275,Moonlight II,21,11,2011-09-10
276,Pulse II,109,3,2020-09-09
277,Rhythm Collection,17,10,2002-09-21
278,Silence II,22,19,2005-11-20
279,Waves Collection,93,20,2001-01-03
280,Pulse,6,19,2006-10-14
281,Journey,80,1,2017-05-21
282,Stories,39,16,2012-05-15
283,Gravity Sessions,10,2,2013-08-15
284,Rhythm II,27,11,2010-12-11
285,Skyline II,94,12,2024-06-17
286,Waves II,72,4,2014-02-09
287,Reflections I,58,8,2001-05-13
288,Memories II,111,20,2005-06-19
289,Sunset II,93,11,2015-09-15
290,Journey I,64,10,2002-07-17
291,Sunset Collection,59,8,2011-01-02
292,Rhythm,37,16,2021-08-10
293,Horizons Sessions,69,1,2004-05-24
294,Fire I,47,13,2012-01-19
295,Fire Collection,72,7,2009-02-13
296,Infinite Collection,65,15,2008-10-22
297,Reflections I,79,4,2012-06-26
298,Fire II,44,18,2006-10-17
299,Echoes I,52,17,2001-03-23
300,Rebirth Sessions,43,16,2004-10-17
